rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1
11,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.3530468772332276,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True
12,cf_1285e1e2c004f2,claim reason,Patient discharge / Components / claim reason,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.3247776464639969,1.0,coded,DV_CODED_TEXT,claim reason,True,True,True,True,True,True,True
13,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.3247776464639969,1.0,numeric,DV_COUNT,icu total,True,True,True,True,True,True,True
14,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.3247776464639969,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True
15,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,1.2259140101003605,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True
16,cf_2a67f6f1c22886,Hospital service,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.2122776464639968,1.0,text,DV_TEXT,hospital service,True,True,True,True,True,True,True
17,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.183431492617843,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,True
18,cf_10f7d6c8e1d5c5,Admission type,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.174777646463997,1.0,coded,DV_CODED_TEXT,admission type,True,True,True,True,True,True,True
19,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1574699541563047,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True
20,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.152277646463997,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True
21,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,1.1440958282821787,1.0,null,NULL_FLAVOUR,race,True,True,True,True,True,True,True
22,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,1.1440958282821787,1.0,null,NULL_FLAVOUR,ethnic group,True,True,True,True,True,True,True
23,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,1.1440958282821787,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,True
24,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,1.1440958282821787,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,True
25,cf_80f721f9446bd3,death indicator,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.1372776464639969,1.0,boolean,DV_BOOLEAN,death indicator,True,True,True,True,True,True,True
26,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1142007233870739,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,True
27,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1055468772332278,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True
28,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.102277646463997,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,True
29,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.099777646463997,1.0,null,NULL_FLAVOUR,hospital infection,True,True,True,True,True,True,True
30,cf_3db72fcc22b158,Patient class,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.099777646463997,1.0,null,NULL_FLAVOUR,patient class,True,True,True,True,True,True,True
31,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.0795853387716892,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True
32,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.0795853387716892,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True
33,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.0634048952835533,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,True,True,True,True,True,True,True
34,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9501082079964815,0.5576923076923077,numeric,DV_QUANTITY,body mass index,True,True,True,True,True,True,True
35,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6608962660922318,0.5576923076923077,text,DV_TEXT,,True,True,True,True,True,True,True
36,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6427379820685634,0.5576923076923077,text,DV_TEXT,,True,True,True,True,True,True,True
37,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4999834672132958,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,True,True,True,True,True,True,True
38,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4907101683967278,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,True,True,True,True,True,True,True
39,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.47587289029021895,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,True,True,True,True,True,True,True
40,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4745629277239854,0.22115384615384615,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True
41,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.44434367431388755,0.3557692307692308,text,DV_TEXT,clinical staging; problem,True,True,True,True,True,True,True
42,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4165237778641835,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,True,True,True,True,True,True,True
43,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3664314558304943,0.22115384615384615,numeric,DV_COUNT,procedure,True,True,True,True,True,True,True
44,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3523273508009085,0.22115384615384615,temporal,DV_DATE,date of beginning of radiotherapy,True,True,True,True,True,True,True
45,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3241191407417369,0.22115384615384615,coded,DV_CODED_TEXT,irradiated area 1; procedure,True,True,True,True,True,True,True
46,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3241191407417369,0.22115384615384615,numeric,DV_COUNT,procedure,True,True,True,True,True,True,True
47,cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.26770272062339373,0.22115384615384615,null,NULL_FLAVOUR,procedure,True,True,True,True,True,True,True
48,cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1766039714419731,0.1346153846153846,numeric,DV_QUANTITY,duration of treatment,True,True,True,True,True,True,True
49,cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1766039714419731,0.1346153846153846,text,DV_TEXT,schema,True,True,True,True,True,True,True
50,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1766039714419731,0.1346153846153846,temporal,DV_DATE,date of beginning of chemotherapy,True,True,True,True,True,True,True
51,cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.12051812787964546,0.08653846153846154,numeric,DV_QUANTITY,,True,True,True,True,True,True,True
52,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.12051812787964546,0.08653846153846154,numeric,DV_QUANTITY,,True,True,True,True,True,True,True
53,cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.11098595332343243,0.08653846153846154,boolean,DV_BOOLEAN,indicator of transplantation,True,True,True,True,True,True,True
54,cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.11098595332343243,0.08653846153846154,numeric,DV_COUNT,number of transplantations,True,True,True,True,True,True,True
