node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
field:cf_9449e602105d68,field,Universal ID,4,0.7395833333333334,0.7395833333333334,0.04179676604192238,0.7593667369083704,0.47827907941118475,0.47827907941118475,0.47827907941118475,0.47827907941118475,cf_9449e602105d68,Patient admission / Tree / Assigned patient location / Facility / Universal ID,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree / Assigned patient location / Facility,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.5833333333333334,0.5833333333333334,0.625,0.7395833333333334,6.0,5.5,5.0
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Address,canonical_subgroup,Tree / Assigned patient location / Address,3,0.0,0.4875,0.027550544376929116,0.25921874685583307,0.16326617638940483,0.16326617638940483,0.16326617638940483,0.16326617638940483,,,,,,,,,,,,,,,,
field:cf_1d8359b2d21168,field,State/province,4,0.4875,0.4875,0.027550544376929116,0.5062926757933335,0.3188830681166379,0.3188830681166379,0.3188830681166379,0.3188830681166379,cf_1d8359b2d21168,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree / Assigned patient location / Address,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.75,0.4875,6.0,5.5,6.0
field:cf_10f7d6c8e1d5c5,field,Admission type,4,0.39375,0.39375,0.02225236276598121,0.6851016083155579,0.431503976408471,0.431503976408471,0.431503976408471,0.431503976408471,cf_10f7d6c8e1d5c5,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
field:cf_2a67f6f1c22886,field,Hospital service,4,0.59375,0.59375,0.03355515020267008,1.1185136803498845,0.7044839697937816,0.7044839697937816,0.7044839697937816,0.7044839697937816,cf_2a67f6f1c22886,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree,text,DV_TEXT,contains;equals;is_known;is_unknown,1.0,0.5,0.5,0.375,0.59375,4.0,3.25,3.0
field:cf_22f759c45e42f4,field,Admit date/time,4,0.9583333333333334,0.9583333333333334,0.05415918980080083,1.2679715104170575,0.7986183977335009,0.7986183977335009,0.7986183977335009,0.7986183977335009,cf_22f759c45e42f4,Patient admission / Tree / Admit date/time,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.8333333333333334,0.8333333333333334,0.5,0.9583333333333334,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis,canonical_group,Problem/Diagnosis,2,0.0,2.039855072463768,0.11528024142854769,0.30542966470837063,0.19237163252149833,0.19237163252149833,0.19237163252149833,0.19237163252149833,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Problem/Diagnosis::structure,canonical_subgroup,structure,3,0.0,2.039855072463768,0.11528024142854769,0.5345140197905128,0.3366579820951863,0.3366579820951863,0.3366579820951863,0.3366579820951863,,,,,,,,,,,,,,,,
field:cf_2db2fd852fb674,field,Problem,4,0.9583333333333334,0.9583333333333334,0.05415918980080083,1.5262394025278503,0.9612856883540042,0.9612856883540042,0.9612856883540042,0.9612856883540042,cf_2db2fd852fb674,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.hospitalisation.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.8333333333333334,0.8333333333333334,0.5,0.9583333333333334,6.0,5.5,4.0
field:cf_49398dcbba5447,field,Secondary Diagnosis,4,1.0815217391304348,1.0815217391304348,0.06112105162774687,1.5861186550442326,0.999,0.999,0.999,0.999,cf_49398dcbba5447,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.hospitalisation.v1,Problem/Diagnosis,structure,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.9565217391304348,0.9565217391304348,0.5,1.0815217391304348,6.0,5.5,4.0
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken,canonical_group,Procedure undertaken,2,0.0,0.6770833333333334,0.03826464496795711,0.19883516819805777,0.12523422027611186,0.12523422027611186,0.12523422027611186,0.12523422027611186,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Procedure_undertaken::Procedure_list,canonical_subgroup,Procedure list,3,0.0,0.6770833333333334,0.03826464496795711,0.34017739607459224,0.21425712231411873,0.21425712231411873,0.21425712231411873,0.21425712231411873,,,,,,,,,,,,,,,,
field:cf_18704e514938d4,field,Procedure,4,0.6770833333333334,0.6770833333333334,0.03826464496795711,0.6923084541078576,0.43604313173812487,0.43604313173812487,0.43604313173812487,0.43604313173812487,cf_18704e514938d4,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.hospitalisation.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.5833333333333334,0.5833333333333334,0.375,0.6770833333333334,6.0,5.5,3.0
family:openEHR-EHR-COMPOSITION.demographic_data.v1,composition_family,openEHR-EHR-COMPOSITION.demographic_data.v1,1,0.0,2.644318181818182,0.1494408316203125,0.09376840829981213,0.05905903672061658,0.05905903672061658,0.05905903672061658,0.05905903672061658,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data,canonical_group,Demographic data,2,0.0,2.644318181818182,0.1494408316203125,0.14004462109713806,0.08820561818065203,0.08820561818065203,0.08820561818065203,0.08820561818065203,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.demographic_data.v1::Demographic_data::components,canonical_subgroup,components,3,0.0,2.644318181818182,0.1494408316203125,0.21929714256314495,0.1381219776489372,0.1381219776489372,0.1381219776489372,0.1381219776489372,,,,,,,,,,,,,,,,
field:cf_7f3b6795a0e812,field,birth date,4,1.09375,1.09375,0.06181211879439225,1.3025459975246338,0.8203947714686081,0.8203947714686081,0.8203947714686081,0.8203947714686081,cf_7f3b6795a0e812,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,1.0,1.0,0.375,1.09375,6.0,6.0,3.0
field:cf_e7551706658b4a,field,gender,4,0.39375,0.39375,0.02225236276598121,0.942242848531986,0.5934616572914614,0.5934616572914614,0.5934616572914614,0.5934616572914614,cf_e7551706658b4a,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
field:cf_19e1b0f55ef007,field,race,4,0.1846590909090909,0.1846590909090909,0.010435812263988303,0.2564631525183329,0.16153059454348936,0.16153059454348936,0.16153059454348936,0.16153059454348936,cf_19e1b0f55ef007,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,null,NULL_FLAVOUR,equals;is_known;is_unknown,1.0,0.09090909090909091,0.09090909090909091,0.375,0.1846590909090909,3.0,2.0,3.0
field:cf_4122372d727029,field,ethnic group,4,0.1846590909090909,0.1846590909090909,0.010435812263988303,0.20413269431686948,0.12857081087471706,0.12857081087471706,0.12857081087471706,0.12857081087471706,cf_4122372d727029,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,null,NULL_FLAVOUR,equals;is_known;is_unknown,1.0,0.09090909090909091,0.09090909090909091,0.375,0.1846590909090909,3.0,2.0,3.0
field:cf_7ab0248b87b82e,field,educational level,4,0.39375,0.39375,0.02225236276598121,0.647595002141282,0.4078808386003751,0.4078808386003751,0.4078808386003751,0.4078808386003751,cf_7ab0248b87b82e,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
field:cf_eee397355aecbe,field,nationality,4,0.39375,0.39375,0.02225236276598121,0.5292553059302506,0.3333458369856797,0.3333458369856797,0.3333458369856797,0.3333458369856797,cf_eee397355aecbe,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,Demographic data,components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
