node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
field:cf_c75844f7868470,field,Body Mass Index,4,0.43850524475524477,0.43850524475524477,0.01985820831301454,0.7875882737656899,0.3911679188631644,0.3911679188631644,0.3911679188631644,0.3911679188631644,cf_c75844f7868470,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Body mass index,Single,numeric,DV_QUANTITY,<;>;between;equals;is_known;is_unknown,0.5576923076923077,0.6181818181818182,0.34475524475524477,0.375,0.43850524475524477,6.0,6.0,3.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_radiotherapy,canonical_subgroup,components / radiotherapy,3,0.0,0.22115384615384615,0.010015203235707523,1.0042717728098458,0.4987871359038528,0.4987871359038528,0.4987871359038528,0.4987871359038528,,,,,,,,,,,,,,,,
field:cf_ed2fd195fdc918,field,date of beginning of radiotherapy,4,0.22115384615384615,0.22115384615384615,0.010015203235707523,0.7557568405921836,0.3753583443892094,0.3753583443892094,0.3753583443892094,0.3753583443892094,cf_ed2fd195fdc918,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / radiotherapy,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,0.22115384615384615,0.43478260869565216,0.09615384615384615,0.5,0.22115384615384615,6.0,6.0,4.0
field:cf_af0c9a7d79fe64,field,Invaded regional linphonodes,4,0.23173076923076924,0.23173076923076924,0.010494191216545708,0.9805731412339889,0.48701684335098183,0.48701684335098183,0.48701684335098183,0.48701684335098183,cf_af0c9a7d79fe64,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure,boolean,DV_BOOLEAN,equals;is_known;is_unknown,0.3557692307692308,0.3,0.10673076923076923,0.5,0.23173076923076924,3.0,2.0,4.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure_/_Tumour_-_TNM_Cancer_staging_/_Clinical_cTNM_,canonical_subgroup,structure / Tumour - TNM Cancer staging / Clinical (cTNM),3,0.0,0.3653846153846154,0.016546857519864604,0.9945832577647411,0.4939751847952517,0.4939751847952517,0.4939751847952517,0.4939751847952517,,,,,,,,,,,,,,,,
field:cf_3c63f8bfbf5fd7,field,Clinical staging,4,0.3653846153846154,0.3653846153846154,0.016546857519864604,0.8545113614274673,0.4244063072401131,0.4244063072401131,0.4244063072401131,0.4244063072401131,cf_3c63f8bfbf5fd7,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure / Tumour - TNM Cancer staging / Clinical (cTNM),text,DV_TEXT,contains;equals;is_known;is_unknown,0.3557692307692308,0.5,0.1778846153846154,0.75,0.3653846153846154,4.0,3.25,6.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure_/_Tumour_-_TNM_Cancer_staging_/_Pathological_pTNM_,canonical_subgroup,structure / Tumour - TNM Cancer staging / Pathological (pTNM),3,0.0,0.5778846153846153,0.0261701614985227,1.0636311029450596,0.52826886691425,0.52826886691425,0.52826886691425,0.52826886691425,,,,,,,,,,,,,,,,
field:cf_c4703128fab784,field,Histopathological grading (G),4,0.29423076923076924,0.29423076923076924,0.013324574739680444,0.8444325507200995,0.41940050974370474,0.41940050974370474,0.41940050974370474,0.41940050974370474,cf_c4703128fab784,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure / Tumour - TNM Cancer staging / Pathological (pTNM),coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.3557692307692308,0.3,0.10673076923076923,0.75,0.29423076923076924,6.0,5.5,6.0
field:cf_72eaea6790449d,field,date of pathological identification,4,0.28365384615384615,0.28365384615384615,0.012845586758842257,0.8367633825253524,0.41559149853559313,0.41559149853559313,0.41559149853559313,0.41559149853559313,cf_72eaea6790449d,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure / Tumour - TNM Cancer staging / Pathological (pTNM),temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,0.3557692307692308,0.2702702702702703,0.09615384615384616,0.75,0.28365384615384615,6.0,6.0,6.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Problem/Diagnosis::structure_/_Tumour_-_TNM_Cancer_staging,canonical_subgroup,structure / Tumour - TNM Cancer staging,3,0.0,0.26298076923076924,0.011909382978113076,0.9613090699289768,0.47744904386460324,0.47744904386460324,0.47744904386460324,0.47744904386460324,,,,,,,,,,,,,,,,
