method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_22,hospitalisation,20,0.4,0.664563492063492,12,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,temporal,3,0.3333333333333333,0.5333333333333333,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,treatment_procedure,7,0.42857142857142855,0.5102040816326531,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,demographic,12,0.16666666666666666,0.30158730158730157,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,diagnosis_oriented,11,0.6363636363636364,0.7727272727272727,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,general_clinical,6,0.16666666666666666,0.25,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,hospitalisation,11,0.2727272727272727,0.39797979797979804,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,temporal,7,0.14285714285714285,0.19999999999999998,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,treatment_procedure,7,0.2857142857142857,0.5408163265306122,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,demographic,12,0.16666666666666666,0.37103174603174605,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,diagnosis_oriented,11,0.5454545454545454,0.761904761904762,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,general_clinical,5,1.0,1.0,0,SUPPORTED
random_topk_24,hospitalisation,11,0.5454545454545454,0.6121212121212122,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,temporal,7,0.0,0.4316326530612245,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,treatment_procedure,8,0.375,0.375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,demographic,12,0.5,0.740079365079365,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,diagnosis_oriented,11,0.45454545454545453,0.6926406926406926,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,general_clinical,5,0.2,0.5333333333333333,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,hospitalisation,11,0.45454545454545453,0.5505050505050505,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,temporal,7,0.0,0.3193877551020408,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,treatment_procedure,8,0.25,0.3125,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,demographic,12,0.25,0.567857142857143,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,diagnosis_oriented,11,0.5454545454545454,0.761904761904762,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,hospitalisation,11,0.36363636363636365,0.5161616161616162,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,temporal,7,0.0,0.48877551020408166,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,treatment_procedure,8,0.375,0.4375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,demographic,12,0.25,0.5432539682539682,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,diagnosis_oriented,11,0.6363636363636364,0.8030303030303029,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,general_clinical,5,0.2,0.5333333333333333,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,hospitalisation,11,0.2727272727272727,0.4505050505050505,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,temporal,7,0.2857142857142857,0.673469387755102,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,treatment_procedure,8,0.25,0.3607142857142857,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,demographic,12,0.5833333333333334,0.7623015873015873,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,diagnosis_oriented,11,0.36363636363636365,0.6666666666666666,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,hospitalisation,11,0.18181818181818182,0.2737373737373737,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,temporal,7,0.14285714285714285,0.5744897959183674,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,treatment_procedure,8,0.375,0.4375,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,demographic,12,0.4166666666666667,0.6511904761904762,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,diagnosis_oriented,10,0.4,0.6595238095238095,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,general_clinical,1,1.0,1.0,0,SUPPORTED
random_topk_29,hospitalisation,20,0.45,0.6849603174603176,11,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,temporal,3,0.0,0.3,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,treatment_procedure,8,0.25,0.3625,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,demographic,12,0.25,0.5023809523809525,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,diagnosis_oriented,11,0.7272727272727273,0.8593073593073594,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,hospitalisation,11,0.45454545454545453,0.5767676767676768,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,temporal,7,0.0,0.2622448979591837,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,treatment_procedure,7,0.42857142857142855,0.673469387755102,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,demographic,12,0.5,0.7206349206349206,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
