rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
33,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.6084100260731349,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True
34,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4990141395077772,0.5576923076923077,numeric,DV_QUANTITY,body mass index,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False
35,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.249349375185561,0.5576923076923077,text,DV_TEXT,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
36,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.23315115033349,0.5576923076923077,text,DV_TEXT,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
37,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9444112732495231,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
38,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9416517777892282,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
39,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9196475710584588,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
40,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9035807604826077,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
41,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8893964770002735,0.3557692307692308,text,DV_TEXT,clinical staging; problem,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True
42,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7639116654245861,0.22115384615384615,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
43,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6637943623550595,0.22115384615384615,numeric,DV_COUNT,procedure,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
44,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6246180263713317,0.22115384615384615,coded,DV_CODED_TEXT,irradiated area 1; procedure,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
