method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_24,treatment_procedure,7,0.42857142857142855,0.5979591836734693,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_25,diagnosis_oriented,11,0.5454545454545454,0.722943722943723,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,hospitalisation,11,0.8181818181818182,0.9343434343434344,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,temporal,7,0.14285714285714285,0.5744897959183674,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,treatment_procedure,8,0.375,0.5357142857142857,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,demographic,12,0.3333333333333333,0.6095238095238096,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,diagnosis_oriented,11,0.7272727272727273,0.8333333333333335,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,general_clinical,5,1.0,1.0,0,SUPPORTED
random_topk_26,hospitalisation,11,0.8181818181818182,0.898989898989899,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,temporal,7,0.14285714285714285,0.5602040816326531,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,treatment_procedure,8,0.375,0.49107142857142855,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,demographic,12,0.5,0.740079365079365,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
random_topk_27,general_clinical,5,1.0,1.0,0,SUPPORTED
random_topk_27,hospitalisation,11,0.7272727272727273,0.8141414141414142,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,temporal,7,0.8571428571428571,0.9142857142857144,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,treatment_procedure,8,0.25,0.5267857142857143,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_28,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
random_topk_28,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,hospitalisation,11,0.5454545454545454,0.6868686868686869,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,temporal,7,0.14285714285714285,0.5744897959183674,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,treatment_procedure,7,0.5714285714285714,0.7306122448979592,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,demographic,12,1.0,1.0,0,SUPPORTED
