method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_22,diagnosis_oriented,10,0.5,0.7380952380952381,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_22,temporal,7,0.7142857142857143,0.8714285714285713,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_22,treatment_procedure,7,0.5714285714285714,0.6530612244897959,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,demographic,12,0.16666666666666666,0.39126984126984127,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,diagnosis_oriented,10,0.4,0.65,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,general_clinical,5,0.2,0.5333333333333333,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,temporal,7,0.2857142857142857,0.5448979591836735,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_23,treatment_procedure,8,0.25,0.325,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,demographic,12,0.16666666666666666,0.37103174603174605,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,diagnosis_oriented,10,0.7,0.8535714285714286,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_24,treatment_procedure,7,0.14285714285714285,0.4448979591836735,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,demographic,12,0.3333333333333333,0.6095238095238096,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,diagnosis_oriented,10,0.3,0.6071428571428571,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,general_clinical,5,0.2,0.4666666666666666,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,temporal,7,0.14285714285714285,0.3979591836734694,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_25,treatment_procedure,8,0.25,0.4642857142857143,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,demographic,12,0.25,0.41269841269841273,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,diagnosis_oriented,10,0.3,0.5714285714285714,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,temporal,7,0.14285714285714285,0.33367346938775505,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_26,treatment_procedure,7,0.2857142857142857,0.4693877551020408,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,demographic,12,0.3333333333333333,0.5392857142857143,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,diagnosis_oriented,10,0.1,0.37857142857142856,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,general_clinical,6,0.8333333333333334,0.9166666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,temporal,7,0.8571428571428571,0.9285714285714286,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_27,treatment_procedure,7,0.5714285714285714,0.6285714285714287,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,demographic,12,0.8333333333333334,0.8888888888888888,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,diagnosis_oriented,10,0.5,0.6952380952380952,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,general_clinical,5,1.0,1.0,0,SUPPORTED
random_topk_28,temporal,7,0.0,0.5173469387755103,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_28,treatment_procedure,8,0.375,0.4285714285714286,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,demographic,12,0.5,0.5654761904761905,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,diagnosis_oriented,10,0.9,0.9666666666666666,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,general_clinical,6,0.3333333333333333,0.47222222222222215,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,temporal,7,0.0,0.25510204081632654,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_29,treatment_procedure,7,0.42857142857142855,0.5265306122448979,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,demographic,12,0.4166666666666667,0.6503968253968254,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,diagnosis_oriented,10,0.4,0.5999999999999999,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,general_clinical,5,0.2,0.36666666666666664,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,temporal,7,0.14285714285714285,0.6806122448979591,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_3,treatment_procedure,8,0.25,0.35357142857142854,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,demographic,12,0.6666666666666666,0.736111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,diagnosis_oriented,10,0.4,0.65,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,general_clinical,5,0.4,0.6333333333333333,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,temporal,7,0.14285714285714285,0.4051020408163265,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_30,treatment_procedure,8,0.25,0.37857142857142856,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_4,demographic,12,0.25,0.41269841269841273,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_4,diagnosis_oriented,10,0.8,0.9416666666666667,2,PRESENT_BUT_OPERATOR_MISSING
random_topk_4,general_clinical,5,0.2,0.4666666666666666,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_4,temporal,7,0.42857142857142855,0.8091836734693878,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_4,treatment_procedure,8,0.125,0.3348214285714286,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_5,demographic,12,0.4166666666666667,0.5873015873015873,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_5,diagnosis_oriented,10,0.7,0.8988095238095237,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_5,general_clinical,6,0.5,0.6944444444444443,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_5,temporal,7,0.14285714285714285,0.4193877551020408,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_5,treatment_procedure,7,0.2857142857142857,0.5142857142857143,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_6,demographic,12,0.6666666666666666,0.8031746031746031,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_6,diagnosis_oriented,10,0.2,0.3880952380952381,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_6,general_clinical,5,0.4,0.6333333333333333,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_6,temporal,7,0.14285714285714285,0.39081632653061227,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_6,treatment_procedure,8,0.25,0.37857142857142856,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_7,demographic,12,0.5,0.740079365079365,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_7,diagnosis_oriented,10,0.1,0.3095238095238095,9,ABSENT_OR_PRUNED_OR_MATCH_FAILED
