rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_flattened_topk,selected_by_frequency_only,selected_by_no_pruning,selected_by_aqf_topk_no_threshold,selected_by_no_operator_awareness,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10,selected_by_random_topk_11,selected_by_random_topk_12,selected_by_random_topk_13,selected_by_random_topk_14,selected_by_random_topk_15,selected_by_random_topk_16,selected_by_random_topk_17,selected_by_random_topk_18,selected_by_random_topk_19,selected_by_random_topk_20,selected_by_random_topk_21,selected_by_random_topk_22,selected_by_random_topk_23,selected_by_random_topk_24,selected_by_random_topk_25,selected_by_random_topk_26,selected_by_random_topk_27,selected_by_random_topk_28,selected_by_random_topk_29,selected_by_random_topk_30
11,cf_1285e1e2c004f2,claim reason,Patient discharge / Components / claim reason,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.840625,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,True
12,cf_ba09c313b94cba,ICU - Total,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.840625,1.0,numeric,DV_COUNT,,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False
13,cf_1d8359b2d21168,State/province,Patient admission / Tree / Assigned patient location / Address / State/province,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.840625,1.0,coded,DV_CODED_TEXT,state,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True
14,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8204326923076923,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,False
15,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,0.8159090909090909,1.0,coded,DV_CODED_TEXT,gender,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
16,cf_2a67f6f1c22886,Hospital service,Patient admission / Tree / Hospital service,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.8125,1.0,text,DV_TEXT,,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False
17,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8052884615384615,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
18,cf_10f7d6c8e1d5c5,Admission type,Patient admission / Tree / Admission type,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.8031249999999999,1.0,coded,DV_CODED_TEXT,,True,False,False,True,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True
19,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7987980769230769,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False
20,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,0.7954545454545454,1.0,coded,DV_CODED_TEXT,educational level,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,False
21,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,0.7954545454545454,1.0,coded,DV_CODED_TEXT,nationality,True,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,False,True,False
22,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7944711538461537,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True
23,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7879807692307692,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True
24,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7858173076923076,1.0,coded,DV_CODED_TEXT,state,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False
25,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7836538461538463,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
26,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7793269230769231,1.0,coded,DV_CODED_TEXT,problem,False,True,True,True,False,False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False
27,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7793269230769231,1.0,coded,DV_CODED_TEXT,problem,False,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,True,True,False
28,cf_80f721f9446bd3,death indicator,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.6737500000000001,1.0,boolean,DV_BOOLEAN,,False,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True
29,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,0.6018181818181818,1.0,null,NULL_FLAVOUR,race,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,False
30,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,0.6018181818181818,1.0,null,NULL_FLAVOUR,ethnic group,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True
31,cf_be52992cb12705,hospital infection,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.5940624999999999,1.0,null,NULL_FLAVOUR,,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True
32,cf_3db72fcc22b158,Patient class,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.5940624999999999,1.0,null,NULL_FLAVOUR,,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
33,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5057692307692309,0.5576923076923077,numeric,DV_QUANTITY,body mass index,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True
34,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.45384615384615384,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True
35,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.4408653846153846,0.5576923076923077,text,DV_TEXT,,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,False
36,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.43653846153846154,0.5576923076923077,text,DV_TEXT,,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False,False
37,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.29735576923076923,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,False
38,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2951923076923077,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False
39,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.28437500000000004,0.3557692307692308,text,DV_TEXT,clinical staging; problem,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True
40,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2822115384615385,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
41,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2351923076923077,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,False,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False
42,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.19302884615384613,0.22115384615384615,temporal,DV_DATE,date of beginning of radiotherapy,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,True,False,True
43,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.18653846153846154,0.22115384615384615,coded,DV_CODED_TEXT,irradiated area 1; procedure,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True
44,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.18653846153846154,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,True
45,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.17572115384615383,0.22115384615384615,coded,DV_CODED_TEXT,procedure,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False
46,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.17572115384615383,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True
47,cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1314423076923077,0.22115384615384615,null,NULL_FLAVOUR,procedure,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False
48,cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.10865384615384614,0.1346153846153846,numeric,DV_QUANTITY,duration of treatment,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True
49,cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.10865384615384614,0.1346153846153846,text,DV_TEXT,schema,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,True
50,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.10865384615384614,0.1346153846153846,temporal,DV_DATE,date of beginning of chemotherapy,False,False,False,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True
51,cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.07139423076923077,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True
52,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.07139423076923077,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False
53,cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.06923076923076923,0.08653846153846154,numeric,DV_COUNT,number of transplantations,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True
54,cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.05884615384615384,0.08653846153846154,boolean,DV_BOOLEAN,indicator of transplantation,False,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
