method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,form_complexity_elements,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,form_utility,query_count,strict_coverage,partial_coverage,field_efficiency,operator_efficiency,weighted_operator_efficiency,complexity_efficiency,used_field_count,unused_field_count,redundancy_ratio
random_topk_16,29,7,12,6,1.0,35.0,29,146,146,0,131.75,1.0,1.0,2,51.581399284816996,54,0.3888888888888889,0.6327307466196355,0.013409961685823755,0.002663622526636225,0.0029517183217372973,0.011111111111111112,23,6,0.20689655172413793
random_topk_17,29,9,15,6,1.0,35.0,29,148,148,0,134.5,1.0,1.0,2,48.721482299214976,54,0.3888888888888889,0.6490446796002352,0.013409961685823755,0.002627627627627628,0.0028913672036348617,0.011111111111111112,23,6,0.20689655172413793
random_topk_18,29,9,15,6,1.0,35.0,29,154,154,0,141.75,1.0,1.0,0,45.893213005560085,54,0.3888888888888889,0.6218106995884773,0.013409961685823755,0.0025252525252525255,0.0027434842249657067,0.011111111111111112,21,8,0.27586206896551724
random_topk_19,29,9,13,6,1.0,35.0,29,152,152,0,139.25,1.0,1.0,1,53.56335740488724,54,0.4629629629629629,0.6254262198706643,0.015964240102171134,0.0030458089668615983,0.0033246891415652634,0.013227513227513227,23,6,0.20689655172413793
random_topk_2,29,8,15,6,1.0,35.0,29,161,161,0,150.75,1.0,1.0,2,46.413848337485916,54,0.3333333333333333,0.5261463844797178,0.011494252873563218,0.0020703933747412005,0.002211166390270868,0.009523809523809523,24,5,0.1724137931034483
random_topk_20,29,9,16,6,1.0,35.0,29,151,151,0,139.0,1.0,1.0,0,47.807745127280164,54,0.3888888888888889,0.5482657260435039,0.013409961685823755,0.0025754231052244297,0.002797761790567546,0.011111111111111112,22,7,0.2413793103448276
random_topk_21,29,10,16,6,1.0,35.0,29,148,148,0,135.25,1.0,1.0,0,46.770181215606264,54,0.3148148148148148,0.5472075249853028,0.010855683269476373,0.0021271271271271273,0.0023276511261723833,0.008994708994708995,22,7,0.2413793103448276
random_topk_22,29,10,14,6,1.0,35.0,29,149,149,0,135.75,1.0,1.0,3,51.607672381516316,54,0.3333333333333333,0.5419900058788948,0.011494252873563218,0.0022371364653243847,0.0024554941682013503,0.009523809523809523,20,9,0.3103448275862069
random_topk_23,29,11,16,6,1.0,35.0,29,157,157,0,145.0,1.0,1.0,1,43.970900715189096,54,0.2962962962962963,0.4293062904174015,0.010217113665389526,0.001887237556027365,0.0020434227330779053,0.008465608465608464,20,9,0.3103448275862069
random_topk_24,29,9,14,6,1.0,35.0,29,150,150,0,136.5,1.0,1.0,3,49.92206425517475,54,0.4074074074074074,0.5664462081128748,0.0140485312899106,0.0027160493827160493,0.002984669651336318,0.01164021164021164,19,10,0.3448275862068966
