rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
29,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.264986342189259,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True
30,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.256332496035412,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True
31,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.25308730372772,1.0,coded,DV_CODED_TEXT,state; state province,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True
32,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,8.252951085779001,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
33,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,5.03940933506177,0.5576923076923077,numeric,DV_COUNT,duration of follow up months,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False
34,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,4.961790823765375,0.5576923076923077,numeric,DV_QUANTITY,body mass index,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
35,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,4.882012885357629,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True
36,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,4.8749122936416525,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False
37,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.585476888084277,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,False
38,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.518029708382708,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True
39,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.4781455726953743,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True
40,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.4651287457722972,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True
41,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,3.4422012926164784,0.3557692307692308,text,DV_TEXT,clinical staging; problem,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False
42,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,2.392185123236806,0.22115384615384615,coded,DV_CODED_TEXT,procedure,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True
