rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
35,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.32970541000799414,0.22115384615384615,coded,DV_CODED_TEXT,procedure,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True
36,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.280639105806343,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True
37,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2652534324809226,0.3557692307692308,temporal,DV_DATE,date of pathological identification; problem,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True
38,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2620148454513134,0.5576923076923077,text,DV_TEXT,,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False
39,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.25811302388067386,0.3557692307692308,coded,DV_CODED_TEXT,problem; tumour topography,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True
40,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.2408525911347687,0.3557692307692308,coded,DV_CODED_TEXT,histopathological grading; problem,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True
41,cf_bbec72e0a270f7,fields/insertions 2,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.22122041093255035,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False
42,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.20864852616928548,0.3557692307692308,text,DV_TEXT,clinical staging; problem,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False
43,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.20155307909905265,0.22115384615384615,temporal,DV_DATE,date of beginning of radiotherapy,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False
44,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.18840845978882925,0.3557692307692308,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,False
45,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1787697591204202,0.22115384615384615,coded,DV_CODED_TEXT,irradiated area 1; procedure,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False
46,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1787697591204202,0.22115384615384615,numeric,DV_COUNT,procedure,False,False,False,False,False,True,True,True,False,True,True,False,True,True,True,False
47,cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.12216889003757994,0.22115384615384615,null,NULL_FLAVOUR,procedure,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False
48,cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08827168794891935,0.1346153846153846,numeric,DV_QUANTITY,duration of treatment,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True
49,cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08827168794891935,0.1346153846153846,text,DV_TEXT,schema,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True
50,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08827168794891935,0.1346153846153846,temporal,DV_DATE,date of beginning of chemotherapy,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
51,cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.061476871284315365,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True
52,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.061476871284315365,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
53,cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.05760654542961451,0.08653846153846154,boolean,DV_BOOLEAN,indicator of transplantation,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,False
54,cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.05760654542961451,0.08653846153846154,numeric,DV_COUNT,number of transplantations,False,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True
